ADD00031,Anh Van 1,22C3_1,50,40,2022,3,6-9
ADD00032,Anh Van 2,22C2_2,50,40,2022,2,6-9
ADD00033,Anh Van 3,22S3_1,50,40,2022,3,1-4
BAA00004,Phap Luat Dai Cuong,22CTT2,50,40,3,6-9
BAA00005,Kinh Te Dai Cuong,22_3,50,40,2022,7,6-9
BAA00006,Tam Ly Dai Cuong,22TTH,50,40,2022,6,3.5-5
BAA00007,Phuong Phap Luan Sang Tao,22_2,50,40,2022,7,1-2.5
BAA00022,The Duc 2,22BC_T4Ti3,50,40,2022,3,3-5
BAA00022,The Duc 2,22AE_T4Ti3,50,40,2022,6,3-5
BAA00022,The Duc 2,22CL_T4Ti3,50,40,2022,2,1-3
BAA00022,The Duc 2,22BD_T4Ti3,50,40,2022,4,1-3
BIO00001,Sinh Dai Cuong 1,22_1,50,40,2022,6,6-9
BIO00002,Sinh Dai Cuong 2,22_1,50,40,2022,7,6-9

